Slice	time	Mean
384	51.2	4.0
385	51.333333333333336	7.5
386	51.46666666666667	4.0
387	51.6	2.0
388	51.733333333333334	6.0
389	51.86666666666667	4.0
390	52.0	4.0
391	52.13333333333333	5.0
392	52.266666666666666	4.0
393	52.4	5.0
394	52.53333333333333	4.0
395	52.666666666666664	2.0
396	52.8	5.5
397	52.93333333333333	6.0
398	53.06666666666667	4.0
399	53.2	8.0
400	53.333333333333336	4.0
401	53.46666666666667	4.5
402	53.6	4.0
403	53.733333333333334	6.0
404	53.86666666666667	9.5
405	54.0	14.5
406	54.13333333333333	22.0
407	54.266666666666666	35.0
408	54.4	27.5
409	54.53333333333333	18.0
410	54.666666666666664	15.0
411	54.8	12.0
412	54.93333333333333	10.0
413	55.06666666666667	7.0
414	55.2	9.0
415	55.333333333333336	8.0
416	55.46666666666667	6.0
417	55.6	8.0
418	55.733333333333334	10.0
419	55.86666666666667	6.0
420	56.0	6.0
421	56.13333333333333	7.0
422	56.266666666666666	6.0
423	56.4	4.0
424	56.53333333333333	4.0
425	56.666666666666664	4.0
426	56.8	4.0
427	56.93333333333333	4.0
428	57.06666666666667	4.0
429	57.2	4.0
430	57.333333333333336	6.0
431	57.46666666666667	6.0
432	57.6	6.0
433	57.733333333333334	4.0
434	57.86666666666667	6.0
435	58.0	6.0
436	58.13333333333333	6.0
437	58.266666666666666	6.0
438	58.4	6.0
439	58.53333333333333	4.5
440	58.666666666666664	4.0
441	58.8	4.0
442	58.93333333333333	4.0
443	59.06666666666667	4.0
444	59.2	4.0
445	59.333333333333336	4.0
446	59.46666666666667	4.5
447	59.6	4.0
448	59.733333333333334	4.0
449	59.86666666666667	4.0
450	60.0	4.0
451	60.13333333333333	4.0
452	60.266666666666666	4.5
453	60.4	6.0
454	60.53333333333333	7.0
455	60.666666666666664	18.0
456	60.8	34.0
457	60.93333333333333	35.0
458	61.06666666666667	25.5
459	61.2	20.5
460	61.333333333333336	15.0
461	61.46666666666667	13.5
462	61.6	11.0
463	61.733333333333334	10.5
464	61.86666666666667	8.0
465	62.0	8.0
466	62.13333333333333	6.0
467	62.266666666666666	8.0
468	62.4	6.0
469	62.53333333333333	6.5
470	62.666666666666664	8.0
471	62.8	6.0
472	62.93333333333333	4.0
473	63.06666666666667	4.0
474	63.2	4.0
475	63.333333333333336	6.0
476	63.46666666666667	5.5
477	63.6	6.0
478	63.733333333333334	6.0
479	63.86666666666667	5.5
480	64.0	6.0
481	64.13333333333334	6.0
482	64.26666666666667	6.0
483	64.4	6.0
484	64.53333333333333	6.0
485	64.66666666666667	6.0
486	64.8	6.0
487	64.93333333333334	6.5
488	65.06666666666666	6.0
489	65.2	6.0
490	65.33333333333333	4.0
491	65.46666666666667	4.0
492	65.6	4.0
493	65.73333333333333	4.0
494	65.86666666666666	5.5
495	66.0	4.5
496	66.13333333333334	4.0
497	66.26666666666667	4.5
498	66.4	4.0
499	66.53333333333333	4.0
500	66.66666666666667	4.0
501	66.8	4.5
502	66.93333333333334	4.0
503	67.06666666666666	6.0
504	67.2	8.0
505	67.33333333333333	21.0
506	67.46666666666667	35.5
507	67.6	34.0
508	67.73333333333333	31.5
509	67.86666666666666	18.5
510	68.0	14.0
511	68.13333333333334	14.0
512	68.26666666666667	13.5
513	68.4	8.0
514	68.53333333333333	8.0
515	68.66666666666667	8.0
516	68.8	6.0
517	68.93333333333334	8.0
518	69.06666666666666	8.0
519	69.2	6.5
520	69.33333333333333	4.0
521	69.46666666666667	4.0
522	69.6	4.0
523	69.73333333333333	4.0
524	69.86666666666666	4.0
525	70.0	6.0
526	70.13333333333334	6.0
527	70.26666666666667	4.0
528	70.4	4.0
529	70.53333333333333	6.0
530	70.66666666666667	6.0
531	70.8	6.0
532	70.93333333333334	4.0
533	71.06666666666666	6.5
534	71.2	6.0
535	71.33333333333333	4.0
536	71.46666666666667	4.5
537	71.6	4.0
538	71.73333333333333	4.0
539	71.86666666666666	4.5
540	72.0	4.0
541	72.13333333333334	4.5
542	72.26666666666667	4.0
543	72.4	4.0
544	72.53333333333333	4.5
545	72.66666666666667	4.0
546	72.8	4.0
547	72.93333333333334	4.0
548	73.06666666666666	4.0
549	73.2	4.0
