Frequency	Power
9.636872e-01	4.869545e+04
9.683426e-01	2.319561e+03
9.729981e-01	3.384538e+04
9.776536e-01	3.689994e+04
9.823091e-01	5.731204e+04
9.869646e-01	3.496880e+02
9.916201e-01	8.378128e+03
9.962756e-01	1.897316e+04
1.000931e+00	3.881248e+04
1.005587e+00	2.760031e+05
1.010242e+00	7.099574e+04
1.014898e+00	1.382290e+04
1.019553e+00	1.732325e+05
1.024209e+00	2.012702e+05
1.028864e+00	6.104923e+04
1.033520e+00	4.661839e+04
1.038175e+00	1.257125e+05
1.042831e+00	1.187115e+04
1.047486e+00	1.948860e+05
1.052142e+00	2.577377e+04
1.056797e+00	4.110987e+04
1.061453e+00	9.818079e+04
1.066108e+00	1.075708e+03
1.070764e+00	1.851224e+04
1.075419e+00	3.987705e+04
1.080074e+00	3.310263e+04
1.084730e+00	1.074079e+04
1.089385e+00	4.767315e+02
1.094041e+00	2.640985e+04
1.098696e+00	2.465649e+04
1.103352e+00	3.591640e+04
1.108007e+00	1.010416e+04
1.112663e+00	4.045092e+04
1.117318e+00	1.704580e+04
1.121974e+00	4.213300e+04
1.126629e+00	7.394310e+04
1.131285e+00	1.392784e+04
1.135940e+00	3.066479e+03
1.140596e+00	3.236724e+03
1.145251e+00	1.595276e+04
1.149907e+00	6.089948e+04
1.154562e+00	1.289008e+05
1.159218e+00	7.070656e+04
1.163873e+00	5.211461e+03
1.168529e+00	9.284315e+04
1.173184e+00	6.940143e+04
1.177840e+00	7.646542e+04
1.182495e+00	1.935133e+04
1.187151e+00	1.019035e+05
1.191806e+00	5.984190e+04
1.196462e+00	5.216761e+04
1.201117e+00	2.089596e+04
1.205773e+00	4.632843e+04
1.210428e+00	5.933119e+04
1.215084e+00	5.597049e+03
1.219739e+00	9.994547e+03
1.224395e+00	2.498054e+04
1.229050e+00	4.079283e+04
1.233706e+00	9.635883e+03
1.238361e+00	9.271787e+03
1.243017e+00	7.556502e+03
1.247672e+00	7.967880e+03
1.252328e+00	1.348665e+04
1.256983e+00	3.774895e+04
1.261639e+00	7.366538e+03
1.266294e+00	4.189720e+04
1.270950e+00	5.207750e+04
1.275605e+00	2.921139e+04
1.280261e+00	1.965920e+04
1.284916e+00	2.021945e+03
1.289572e+00	1.698002e+04
1.294227e+00	1.512269e+04
1.298883e+00	2.548182e+04
1.303538e+00	1.250573e+05
1.308194e+00	1.458249e+04
1.312849e+00	1.317541e+04
1.317505e+00	9.637125e+04
1.322160e+00	2.050310e+04
1.326816e+00	1.287614e+04
1.331471e+00	2.879082e+04
1.336127e+00	2.474572e+04
1.340782e+00	7.870275e+04
1.345438e+00	1.779036e+04
1.350093e+00	3.423456e+04
1.354749e+00	3.393655e+04
1.359404e+00	9.868535e+03
1.364060e+00	1.214958e+04
1.368715e+00	1.817393e+04
1.373371e+00	3.828856e+04
1.378026e+00	2.064626e+03
1.382682e+00	1.729829e+04
1.387337e+00	6.070542e+03
1.391993e+00	7.798918e+03
